Time (s),Amplitude
6.236842105263158e-08,99999999.29876322
6.25e-08,99999999.29289322
6.263157894736843e-08,99999999.28707156
6.276315789473684e-08,99999999.28129861
6.289473684210526e-08,99999999.27557479
6.302631578947369e-08,99999999.26990049
6.31578947368421e-08,99999999.26427609
6.328947368421053e-08,99999999.25870198
6.342105263157895e-08,99999999.25317852
6.355263157894738e-08,99999999.24770612
6.368421052631579e-08,99999999.24228513
6.38157894736842e-08,99999999.23691593
6.394736842105264e-08,99999999.23159888
6.407894736842105e-08,99999999.22633436
6.421052631578948e-08,99999999.22112273
6.43421052631579e-08,99999999.21596432
6.447368421052631e-08,99999999.21085949
6.460526315789474e-08,99999999.20580861
6.473684210526316e-08,99999999.200812
6.486842105263158e-08,99999999.19587003
6.5e-08,99999999.19098301
6.513157894736842e-08,99999999.18615128
6.526315789473684e-08,99999999.18137519
6.539473684210526e-08,99999999.17665504
6.552631578947369e-08,99999999.17199117
6.56578947368421e-08,99999999.1673839
6.578947368421052e-08,99999999.16283353
6.592105263157895e-08,99999999.15834036
6.605263157894736e-08,99999999.15390475
6.618421052631579e-08,99999999.14952695
6.631578947368421e-08,99999999.14520729
6.644736842105264e-08,99999999.14094605
6.657894736842105e-08,99999999.13674352
6.671052631578947e-08,99999999.1326
6.68421052631579e-08,99999999.12851575
6.697368421052631e-08,99999999.12449108
6.710526315789474e-08,99999999.12052625
6.723684210526316e-08,99999999.11662152
6.736842105263157e-08,99999999.11277717
6.75e-08,99999999.10899347
6.763157894736842e-08,99999999.10527067
6.776315789473685e-08,99999999.10160902
6.789473684210526e-08,99999999.09800877
6.802631578947368e-08,99999999.09447017
6.815789473684211e-08,99999999.09099346
6.828947368421052e-08,99999999.0875789
6.842105263157895e-08,99999999.08422667
6.855263157894737e-08,99999999.08093706
6.86842105263158e-08,99999999.07771024
6.881578947368421e-08,99999999.07454647
6.894736842105263e-08,99999999.07144596
6.907894736842106e-08,99999999.0684089
6.921052631578947e-08,99999999.06543553
6.93421052631579e-08,99999999.06252603
6.947368421052632e-08,99999999.05968061
6.960526315789473e-08,99999999.05689946
6.973684210526316e-08,99999999.05418275
6.986842105263158e-08,99999999.0515307
7e-08,99999999.04894349
7.013157894736842e-08,99999999.04642126
7.026315789473684e-08,99999999.04396422
7.039473684210526e-08,99999999.04157251
7.052631578947368e-08,99999999.03924632
7.065789473684211e-08,99999999.0369858
7.078947368421052e-08,99999999.0347911
7.092105263157895e-08,99999999.03266235
7.105263157894737e-08,99999999.03059973
7.118421052631578e-08,99999999.02860337
7.131578947368421e-08,99999999.0266734
7.144736842105263e-08,99999999.02480996
7.157894736842106e-08,99999999.02301317
7.171052631578947e-08,99999999.02128315
7.184210526315789e-08,99999999.01962003
7.197368421052632e-08,99999999.01802392
7.210526315789473e-08,99999999.01649493
7.223684210526316e-08,99999999.01503316
7.236842105263158e-08,99999999.01363869
7.25e-08,99999999.01231165
7.263157894736842e-08,99999999.01105213
7.276315789473684e-08,99999999.00986019
7.289473684210527e-08,99999999.00873592
7.302631578947368e-08,99999999.00767942
7.315789473684211e-08,99999999.00669074
7.328947368421053e-08,99999999.00576994
7.342105263157894e-08,99999999.0049171
7.355263157894737e-08,99999999.00413227
7.368421052631579e-08,99999999.00341551
7.381578947368422e-08,99999999.00276686
7.394736842105263e-08,99999999.00218637
7.407894736842105e-08,99999999.00167409
7.421052631578948e-08,99999999.00123003
7.434210526315789e-08,99999999.00085424
7.447368421052632e-08,99999999.00054674
7.460526315789474e-08,99999999.00030756
7.473684210526315e-08,99999999.00013669
7.486842105263158e-08,99999999.00003417
7.5e-08,99999999.0
7.513157894736843e-08,99999999.00003417
7.526315789473684e-08,99999999.00013669
7.539473684210526e-08,99999999.00030756
7.552631578947369e-08,99999999.00054674
7.56578947368421e-08,99999999.00085424
7.578947368421053e-08,99999999.00123003
7.592105263157895e-08,99999999.00167409
7.605263157894737e-08,99999999.00218637
7.618421052631579e-08,99999999.00276686
7.63157894736842e-08,99999999.00341551
7.644736842105263e-08,99999999.00413227
7.657894736842105e-08,99999999.0049171
7.671052631578948e-08,99999999.00576994
7.68421052631579e-08,99999999.00669074
7.697368421052631e-08,99999999.00767942
7.710526315789474e-08,99999999.00873592
7.723684210526315e-08,99999999.00986019
7.736842105263158e-08,99999999.01105213
7.75e-08,99999999.01231165
7.763157894736841e-08,99999999.01363869
7.776315789473684e-08,99999999.01503316
7.789473684210526e-08,99999999.01649493
7.802631578947369e-08,99999999.01802392
7.81578947368421e-08,99999999.01962003
7.828947368421053e-08,99999999.02128315
7.842105263157895e-08,99999999.02301317
7.855263157894736e-08,99999999.02480996
7.868421052631579e-08,99999999.0266734
7.881578947368421e-08,99999999.02860337
7.894736842105264e-08,99999999.03059973
7.907894736842105e-08,99999999.03266235
7.921052631578947e-08,99999999.0347911
7.93421052631579e-08,99999999.0369858
7.947368421052631e-08,99999999.03924632
7.960526315789474e-08,99999999.04157251
7.973684210526316e-08,99999999.04396422
7.986842105263157e-08,99999999.04642126
8e-08,99999999.04894349
8.013157894736842e-08,99999999.0515307
8.026315789473685e-08,99999999.05418275
8.039473684210526e-08,99999999.05689946
8.052631578947369e-08,99999999.05968061
8.06578947368421e-08,99999999.06252603
8.078947368421052e-08,99999999.06543553
8.092105263157895e-08,99999999.0684089
8.105263157894737e-08,99999999.07144596
8.11842105263158e-08,99999999.07454647
8.131578947368421e-08,99999999.07771024
8.144736842105263e-08,99999999.08093706
8.157894736842106e-08,99999999.08422667
8.171052631578947e-08,99999999.0875789
8.18421052631579e-08,99999999.09099346
8.197368421052632e-08,99999999.09447017
8.210526315789473e-08,99999999.09800877
8.223684210526316e-08,99999999.10160902
8.236842105263158e-08,99999999.10527067
8.25e-08,99999999.10899347
8.263157894736842e-08,99999999.11277717
8.276315789473685e-08,99999999.11662152
8.289473684210526e-08,99999999.12052625
8.302631578947368e-08,99999999.12449108
8.315789473684211e-08,99999999.12851575
8.328947368421052e-08,99999999.1326
8.342105263157895e-08,99999999.13674352
8.355263157894737e-08,99999999.14094605
8.368421052631578e-08,99999999.14520729
8.381578947368421e-08,99999999.14952695
8.394736842105263e-08,99999999.15390475
8.407894736842106e-08,99999999.15834036
8.421052631578947e-08,99999999.16283353
8.434210526315789e-08,99999999.1673839
8.447368421052632e-08,99999999.17199117
8.460526315789473e-08,99999999.17665504
8.473684210526316e-08,99999999.18137519
8.486842105263158e-08,99999999.18615128
8.5e-08,99999999.19098301
8.513157894736842e-08,99999999.19587003
8.526315789473684e-08,99999999.200812
8.539473684210527e-08,99999999.20580861
8.552631578947368e-08,99999999.21085949
8.565789473684211e-08,99999999.21596432
8.578947368421053e-08,99999999.22112273
8.592105263157894e-08,99999999.22633436
8.605263157894737e-08,99999999.23159888
8.618421052631579e-08,99999999.23691593
8.631578947368422e-08,99999999.24228513
8.644736842105263e-08,99999999.24770612
8.657894736842105e-08,99999999.25317852
8.671052631578948e-08,99999999.25870198
8.684210526315789e-08,99999999.26427609
8.697368421052632e-08,99999999.26990049
8.710526315789474e-08,99999999.27557479
8.723684210526315e-08,99999999.28129861
8.736842105263158e-08,99999999.28707156
8.75e-08,99999999.29289322
8.763157894736842e-08,99999999.29876322
8.776315789473684e-08,99999999.30468114
