Frequency (Hz),Power (dBm)
291601925.1,-82.21554565
291914122.3,-142.3817816
292226319.6,-84.67002869
292538516.8,-131.2134771
292850714.1,-83.20803833
293162911.3,-137.7887487
293475108.6,-84.84086609
293787305.9,-134.2410192
294099503.1,-82.86515045
294411700.4,-138.3395452
294723897.6,-84.18048859
295036094.9,-135.1394262
295348292.1,-84.68885804
295660489.4,-132.2024298
295972686.6,-83.73470307
296284883.9,-139.8676062
296597081.2,-84.44078064
296909278.4,-135.8980169
297221475.7,-83.84968567
297533672.9,-135.2466497
297845870.2,-85.09446717
298158067.4,-140.1815557
298470264.7,-83.82943726
298782462,-139.0510168
299094659.2,-83.5602417
299406856.5,-132.3386297
299719053.7,-84.00762177
300031251,-130.4643011
300343448.2,-84.55894471
300655645.5,-137.7693701
300967842.7,-84.56682587
301280040,-133.5175543
301592237.3,-83.9433899
301904434.5,-129.3502569
302216631.8,-85.93853761
302528829,-130.2591772
302841026.3,-84.583107
303153223.5,-132.9370794
303465420.8,-85.97634126
303777618.1,-142.9621344
304089815.3,-84.52610779
304402012.6,-138.0966558
304714209.8,-86.51978304
305026407.1,-136.4509192
305338604.3,-85.78758241
305650801.6,-136.1582098
305962998.8,-85.82852937
306275196.1,-132.0181036
306587393.4,-86.21710207
306899590.6,-133.1305914
307211787.9,-87.33326725
307523985.1,-150.4903173
307836182.4,-86.32252504
308148379.6,-141.6539679
308460576.9,-85.38380433
308772774.1,-131.7820959
309084971.4,-84.95659638
309397168.7,-131.1505804
309709365.9,-85.43042756
310021563.2,-134.1430426
310333760.4,-87.27197269
310645957.7,-131.130332
310958154.9,-86.1083603
311270352.2,-129.7330084
311582549.5,-86.39845278
311894746.7,-132.0405035
312206944,-87.22357944
312519141.2,-132.886939
312831338.5,-86.64350893
313143535.7,-139.1329565
313455733,-88.53576669
313767930.2,-135.9835577
314080127.5,-89.30283371
314392324.8,-130.5293798
314704522,-88.1311341
315016719.3,-137.6984777
315328916.5,-88.40873726
315641113.8,-140.9018621
315953311,-88.36884316
316265508.3,-134.4790411
316577705.6,-87.21478275
316889902.8,-134.7228308
317202100.1,-86.48258211
317514297.3,-134.3588324
317826494.6,-86.29276277
318138691.8,-132.3515234
318450889.1,-88.11152655
318763086.3,-135.4520178
319075283.6,-87.90627294
319387480.9,-136.5483313
319699678.1,-88.9188081
320011875.4,-140.9930334
320324072.6,-86.72087099
320636269.9,-139.8347387
320948467.1,-89.37175004
321260664.4,-138.5323858
321572861.7,-87.78572087
321885058.9,-130.1232061
322197256.2,-91.40892107
322509453.4,-134.9017248
322821650.7,-93.76509571
323133847.9,-133.678031
323446045.2,-89.32382981
323758242.4,-132.3154211
324070439.7,-89.33040635
324382637,-140.4863958
324694834.2,-92.57879067
325007031.5,-130.228858
325319228.7,-88.55717477
325631426,-135.444663
325943623.2,-90.30188022
326255820.5,-132.7003698
326568017.8,-89.65289327
326880215,-130.4492254
327192412.3,-94.2991328
327504609.5,-131.1084204
327816806.8,-93.26062333
328129004,-136.7820959
328441201.3,-93.27969686
328753398.5,-135.223258
329065595.8,-94.98398266
329377793.1,-129.0218267
329689990.3,-92.79823528
330002187.6,-130.876029
330314384.8,-89.98485591
330626582.1,-134.2045202
330938779.3,-91.75895792
331250976.6,-135.5192785
331563173.8,-93.35667
331875371.1,-135.4729376
332187568.4,-94.94557589
332499765.6,-146.3852453
332811962.9,-90.6527638
333124160.1,-129.5389929
333436357.4,-94.41119391
333748554.6,-137.3087072
334060751.9,-92.68699088
334372949.2,-130.8772345
334685146.4,-91.76313883
334997343.7,-131.67974
