TIME (S),Amplitude (V)
-4.97382453e-06,1.08000000e-01
-4.97378453e-06,1.44546875e-01
-4.97374453e-06,1.42531250e-01
-4.97370453e-06,5.31875000e-02
-4.97366453e-06,-7.47343750e-02
-4.97362453e-06,-1.50765625e-01
-4.97358453e-06,-1.42406250e-01
-4.97354453e-06,-1.08328125e-01
-4.97350453e-06,-9.82187500e-02
-4.97346453e-06,-3.56875000e-02
-4.97342453e-06,8.54375000e-02
-4.97338453e-06,1.71171875e-01
-4.97334453e-06,1.59750000e-01
-4.97330453e-06,8.34531250e-02
-4.97326453e-06,3.46406250e-02
-4.97322453e-06,-1.85156250e-02
-4.97318453e-06,-1.00765625e-01
-4.97314453e-06,-1.75734375e-01
-4.97310453e-06,-1.79968750e-01
-4.97306453e-06,-7.10000000e-02
-4.97302453e-06,2.17187500e-02
-4.97298453e-06,6.68593750e-02
-4.97294453e-06,1.10796875e-01
-4.97290453e-06,1.48015625e-01
-4.97286453e-06,1.64921875e-01
-4.97282453e-06,6.16875000e-02
-4.97278453e-06,-7.78750000e-02
-4.97274453e-06,-1.24531250e-01
-4.97270453e-06,-1.29750000e-01
-4.97266453e-06,-1.26062500e-01
-4.97262453e-06,-1.19859375e-01
-4.97258453e-06,-5.20156250e-02
-4.97254453e-06,7.98906250e-02
-4.97250453e-06,1.65109375e-01
-4.97246453e-06,1.42703125e-01
-4.97242453e-06,8.07968750e-02
-4.97238453e-06,6.48281250e-02
-4.97234453e-06,4.65625000e-03
-4.97230453e-06,-9.94218750e-02
-4.97226453e-06,-1.68515625e-01
-4.97222453e-06,-1.76640625e-01
-4.97218453e-06,-8.08593750e-02
-4.97214453e-06,4.84375000e-04
-4.97210453e-06,4.24218750e-02
-4.97206453e-06,1.09328125e-01
-4.97202453e-06,1.56218750e-01
-4.97198453e-06,1.63734375e-01
-4.97194453e-06,6.61562500e-02
-4.97190453e-06,-6.12187500e-02
-4.97186453e-06,-1.05968750e-01
-4.97182453e-06,-1.29671875e-01
-4.97178453e-06,-1.41625000e-01
-4.97174453e-06,-1.26578125e-01
-4.97170453e-06,-5.06875000e-02
-4.97166453e-06,7.90000000e-02
-4.97162453e-06,1.49718750e-01
-4.97158453e-06,1.35093750e-01
-4.97154453e-06,1.04046875e-01
-4.97150453e-06,7.90000000e-02
-4.97146453e-06,1.48281250e-02
